First Name,First name native,Last name,Last name native,Username,Password,Role
Karim,Карим,Legoida,Легойда,karimlegoida,1234567a,ROLE_DRIVER
Valentin,Валентин,Polyakov,Поляков,polyakov1985,1234567a,ROLE_DRIVER
Ustin,Устин,Tymofeev,Тимофеев,ustin.tymofeev,1234567a,ROLE_DRIVER
Khariton,Харитон,Shumeiko,Шумейко,shumeiko222,1234567a,ROLE_DRIVER
Boleslav,Болеслав,Belyaev,Беляев,belyaevboleslav,1234567a,ROLE_DRIVER
Emmanuil,Иммануил,Aleksandrov,Александров,aleksandrov2,1234567a,ROLE_DRIVER
Christian,Кристиан,Gavrilov,Гаврилов,christiangavrilov,1234567a,ROLE_DRIVER
Ustin,Устин,Panfilov,Панфилов,ustin.panfilov,1234567a,ROLE_DRIVER
Zinoviy,Зиновий,Chernov,Чернов,chernov1965,1234567a,ROLE_DRIVER
Lavrentii,Лаврентий,Khitruk,Хитрук,khitruk25,1234567a,ROLE_DRIVER
